Δx [pm]	Δy [pm]	φ [deg]	R [pm]	Δz [pA]
-1180.12422360	374.74120083	-162.38307388	1238.19390676	-40.43967174
1795.03105590	-507.24637681	15.77942292	1865.32447001	99.70833109
-1809.52380952	523.80952381	-163.85566122	1883.81337570	-14.26781084
1587.99171843	-438.92339545	15.45088221	1647.53496013	-15.47115519
-1786.74948240	509.31677019	-164.08968493	1857.92284158	-10.90528784
-1755.69358178	494.82401656	-164.26006049	1824.09176317	38.13581295
1747.41200828	-505.17598344	16.12455660	1818.96990105	68.48013169
-1790.89026915	505.17598344	-164.24725310	1860.77691580	-17.31087015
1194.61697723	-347.82608696	16.23350939	1244.22373753	50.10128916
